provincia;municipio;agregado;zona;poligono;parcela;recinto;dn_surface;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
35;22;0;0;5;318;6;797,2729006;53,76567726;69,98553929;84,2010555;99,79343565;123,9292857;123,6199967;156,5535755;152,0458708;104,59163;86,84760686;58,03056685;43,96750161
35;22;0;0;5;318;9;1055,504415;53,54110506;69,83158692;83,99012323;99,60660266;123,811857;123,4892484;156,6241688;152,0628322;104,4849217;86,68562766;57,85301967;43,81361989
35;22;0;0;5;318;10;945,2337632;53,45688674;69,77270637;83,90448681;99,52930576;123,7562286;123,4301321;156,6237694;152,0420244;104,4343972;86,62058367;57,78331337;43,75580751
35;22;0;0;5;318;11;1399,272793;53,42510761;69,7509638;83,87532134;99,50373206;123,7407247;123,4126596;156,6363188;152,0470438;104,4201809;86,59793013;57,75842985;43,73398603
35;22;0;0;5;318;12;2530,593243;53,32473176;69,68094205;83,77455597;99,41318744;123,6765085;123,3441075;156,6405279;152,0270308;104,3616356;86,52095445;57,67586025;43,66504096
35;22;0;0;5;318;4;1995,908746;53,96262932;70,1194191;84,38127518;99,95243835;124,0235405;123,7272606;156,4714966;152,0107193;104,6768532;86,9859314;58,18364143;44,10213852
35;22;0;0;6;99;5;801,3905678;58,4068194;73,00157856;88,02693091;103,2092219;125,3228285;125,454298;152,7034148;149,3162278;105,6854858;89,65637788;61,29443738;47,04207011
35;22;0;0;1;600;1;161,6938459;62,51594198;76,18743527;93,34470949;108,2154573;129,893074;130,5248869;155,5359675;153,0325277;110,2012476;93,52778017;65,43517206;50,14547646
35;22;0;0;2;14;3;2281,242587;62,86832627;76,87590144;95,84100654;110,5081264;133,2315362;133,3337968;161,9623317;160,0825071;113,3874852;95,29290208;67,06870479;50,86304137
35;22;0;0;2;14;2;3822,71657;62,89876556;76,90996806;95,92721303;110,5883128;133,3233185;133,4189809;162,0924428;160,2414449;113,4718196;95,35119629;67,12341309;50,89575322
35;22;0;0;2;15;2;4460,533244;62,89953915;76,90922503;95,92392901;110,5851172;133,3200995;133,4160461;162,0875061;160,2330007;113,4699639;95,34975511;67,12325059;50,89590239
35;22;0;0;2;15;3;3917,034681;62,85784912;76,86236827;95,80466207;110,4742126;133,1924184;133,2978516;161,9047343;160,0106812;113,3525035;95,26896667;67,04743703;50,85085805
35;22;0;0;6;649;6;591,275655;53,10233567;69,49077877;83,1741937;98,74420688;122,8973454;122,6040934;155,2274395;150,5474303;103,6904094;86,17053026;57,34708148;43,52401788
35;22;0;0;6;649;3;590,2272352;53,18169512;69,54185006;83,22875622;98,78354968;122,9087568;122,6207758;155,1479386;150,4879793;103,7046593;86,22163439;57,40363808;43,57876294
35;22;0;0;6;649;9;161,9957825;53,04056635;69,45021229;83,12484658;98,70459765;122,8773643;122,5804458;155,2669276;150,5715512;103,670131;86,12805765;57,30069306;43,48157756
35;22;0;0;6;690;3;214,0927605;52,8698616;69,33437347;82,94956207;98,54466248;122,7582626;122,4541855;155,2418823;150,504425;103,5607452;85,99474335;57,15876389;43,36557007
35;22;0;0;1;609;2;496,9589786;62,47505612;76,17117614;93,37083802;108,2377058;129,9735532;130,575938;155,7853539;153,2829318;110,2810754;93,54843322;65,44923242;50,13277749
35;22;0;0;1;606;6;179,3127263;62,44576506;76,17282055;93,46206544;108,319016;130,1477769;130,7048877;156,2227418;153,7276905;110,4554042;93,61805288;65,512918;50,14255991
35;22;0;0;2;24;5;77,45172719;62,51626452;76,4815857;94,80756058;109,5508923;132,0740338;132,2807793;160,1944506;158,0187918;112,3000945;94,57694205;66,38325237;50,47019639
35;22;0;0;6;609;3;412,5027908;52,7720844;69,24045759;82,59118161;98,10952918;122,2702799;121,9715165;154,3860544;149,641544;103,1455051;85,81993303;56,98945103;43,3071864
35;22;0;0;3;327;28;4115,221875;59,75932121;74,18418884;90,38585281;105,4394684;127,8734627;128,0135612;155,9736328;152,8990784;108,2062988;91,39001465;63,06061363;48,16309929
35;22;0;0;5;418;1;189,4501504;53,83246476;70,00099777;84,03697404;99,57873717;123,5798355;123,3117416;155,67161;151,1701189;104,2921398;86,77593276;57,98903805;44,01585793
35;22;0;0;5;416;4;486,8177809;53,83027038;70,00220305;84,05837764;99,60625248;123,6172576;123,3462301;155,7555719;151,2542319;104,3231944;86,78483427;57,99602574;44,01372843
35;22;0;0;5;416;8;205,5597388;53,73269359;69,93629698;83,96789168;99,52598922;123,567729;123,2906036;155,7873861;151,2625771;104,2782335;86,7153477;57,91963609;43,9472831
35;22;0;0;2;1;13;283,0605646;62,9236525;76,94438748;96,02305924;110,6777303;133,4289173;133,5149429;162,254417;160,4412304;113,5661685;95,41427169;67,17871922;50,92629689
35;22;0;0;2;24;2;716,1215377;62,48131935;76,434938;94,66814468;109,4221701;131,9041405;132,1319636;159,9010441;157,68752;112,1395865;94,47943494;66,29176225;50,42352572
35;22;0;0;4;396;9;414,2211412;52,20730279;68,96930934;83,05334159;98,85844154;123,6955729;123,2116276;158,4159873;153,5508577;104,373108;85,94028742;56,93065208;42,89109637
35;22;0;0;5;402;4;105,2999551;50,84224099;67,9254755;81,20640128;97,11758443;121,8895291;121,4982392;156,2509707;151,04128;102,6794559;84,48763905;55,57948875;41,94628063
35;22;0;0;4;344;1;332,0949291;52,37090186;69,04119823;83,02519069;98,79545744;123,4348199;123,0172214;157,5506638;152,720251;104,1288598;85,91370249;56,9798706;43,00440752
35;22;0;0;5;357;23;463,7357111;51,68723477;68,52606036;82,14564325;97,97084196;122,6319188;122,2409415;156,7198316;151,7186741;103,3842904;85,23674271;56,32407346;42,53105258
35;22;0;0;3;2;1;644,6613679;61,87557248;76,03654814;94,1880388;108,9726889;131,7711945;131,8372586;160,7402829;158,4084134;111,9993913;94,14723612;65,87393276;49,99642578
35;22;0;0;1;587;4;162,901018;62,50281143;76,18674469;93,38728333;108,2521591;129,9851074;130,5918121;155,7743988;153,2613831;110,2999954;93,56385803;65,4743042;50,15485001
35;22;0;0;1;587;1;433,8517187;62,50213077;76,18663666;93,38847986;108,2532339;129,9875188;130,5935369;155,7807797;153,2680276;110,3023116;93,56473048;65,47497433;50,15477219
35;22;0;0;2;68;2;2224,237791;62,14374898;76,14659154;94,08415201;108,8806958;131,3523828;131,5818256;159,3357117;156,983997;111,6077434;94,06691685;65,86153094;50,12502347
35;22;0;0;1;352;2;480,5122321;62,15540511;75,89928986;92,84081221;107,7409298;129,4607753;130,0555066;155,243941;152,6313306;109,7878598;93,16909747;65,06129359;49,8696885
35;22;0;0;6;672;8;446,3831256;52,29259275;68,92741152;82,14670021;97,7280499;122,0002492;121,6848174;154,4001807;149,5289972;102,8843235;85,45302248;56,60325291;42,98152229
35;22;0;0;6;672;9;307,4828419;52,29710762;68,93132277;82,16018815;97,74422713;122,0180529;121,7026534;154,4302926;149,5593504;102,8998025;85,46000878;56,61002858;42,98425142
35;22;0;0;4;82;3;8139,488077;57,54481411;72,5803299;87,89579582;103,1473351;126,082571;126,0143852;155,6727982;152,0884552;106,4852238;89,56988335;61,04800797;46,54473209
35;22;0;0;4;82;4;405,0537404;57,55454094;72,58599676;87,90107351;103,1518352;126,0805128;126,0140654;155,6528397;152,0707249;106,4827321;89,5736026;61,05318758;46,55095591
35;22;0;0;2;12;6;2333,339079;62,95518791;76,97274622;96,08300693;110,7334957;133,4851;133,5707954;162,3121025;160,5162314;113,6190969;95,45542395;67,22061363;50,95532531
35;22;0;0;2;24;14;7296,965775;62,6558754;76,65896606;95,31510773;110,0204651;132,6728973;132,8122803;161,1876831;159,158844;112,8616531;94,92878571;66,71258698;50,64481735
35;22;0;0;3;164;9;152,1914587;60,15487218;74,7188508;91,9157928;106,8756546;130,0017069;129,9080562;160,0375786;157,1675725;110,2775082;92,52928975;64,1079328;48,61666846
35;22;0;0;5;316;11;1972,732952;53,55193398;69,84353514;84,02861021;99,64756561;123,8672173;123,5391039;156,7360258;152,1787617;104,5343802;86,71104868;57,87461559;43,82113229
35;22;0;0;5;316;13;981,3381335;53,79562327;70,01448098;84,27898531;99,87408685;124,0322409;123,713749;156,7461426;152,2481231;104,6839293;86,90055258;58,0775355;43,9884714
35;22;0;0;4;434;2;398,0808505;51,04269335;68,07595289;81,70085733;97,64813449;122,5813044;122,134045;157,6079747;152,4672968;103,3208741;84,84524147;55,86515696;42,07365699
35;22;0;0;4;434;3;117,2029301;51,03398383;68,06912177;81,69097732;97,63940673;122,5730404;122,1261059;157,6028577;152,4603385;103,3126858;84,83670918;55,8573088;42,06742836
35;22;0;0;4;434;4;638,0270121;51,03454519;68,07075933;81,69488984;97,64359492;122,5812132;122,1330526;157,6177898;152,4746313;103,32181;84,84164393;55,85904802;42,06821273
35;22;0;0;4;434;5;233,6245064;51,03330114;68,07048676;81,69536019;97,64443019;122,5844598;122,1356467;157,6254426;152,4815621;103,3256545;84,84299385;55,8586304;42,06755496
35;22;0;0;4;434;6;932,2957199;51,0320286;68,06977789;81,69460518;97,6439156;122,5849521;122,1359165;157,6277553;152,483389;103,3264508;84,84279043;55,8577305;42,06675448
35;22;0;0;4;434;7;153,1093336;50,98482377;68,03275646;81,64049632;97,59598282;122,5393708;122,0922125;157,5974725;152,4429385;103,2816238;84,79646668;55,81491553;42,03309083
35;22;0;0;4;434;10;605,8326139;51,05005225;68,08710378;81,72348076;97,67131594;122,6220056;122,1691382;157,6759127;152,5332461;103,3660758;84,87208761;55,87709859;42,0807121
35;22;0;0;4;434;9;155,6877814;51,07342148;68,10556793;81,7508316;97,69567108;122,6457214;122,1917419;157,6934509;152,5557861;103,3894119;84,89555359;55,89852905;42,09739304
